card_id,disp_id,type,date,end_date,card_number
1377,3378,gold,2017-10-23,,4720467003972827
1384,9409,gold,2016-06-19,,347609573327061
1381,2815,gold,2017-12-23,,4516852437379898459
1346,1930,gold,2017-11-15,,36265539965555
282,1799,gold,2016-12-13,,30538440541855
1398,3134,gold,2017-11-09,,3581455080849562
184,1089,gold,2016-06-03,,579494753992
1389,2715,gold,2017-09-12,,4373740832663040499
1403,4559,gold,2016-07-11,,4853922430749496834
1352,1668,gold,2017-09-18,,2282550664451415
182,1067,gold,2016-08-31,,4508594970537339
1400,928,gold,2017-12-01,,341463772554968
1378,2122,gold,2017-07-04,,4164634448547197793
1386,12787,gold,2017-12-09,,630412964128
1401,3253,gold,2017-09-07,,6011115444540355
1388,3136,gold,2017-12-16,,5284385482046563
1405,1179,gold,2017-11-24,,6011756862126258
1391,2911,gold,2017-10-16,,4030287524768503
1359,9,gold,2017-12-28,,6505873695432333
1393,3236,gold,2017-12-26,,563930541542
1396,11771,gold,2017-12-16,,6011149267039013
1394,11023,gold,2016-10-30,,4622553697455226
1355,41,gold,2015-12-02,,30566411108271
1382,7286,gold,2017-05-14,,4116339314155
1342,1629,gold,2015-10-10,,583607331506
1380,2388,gold,2017-12-16,,501891257104
599,3824,gold,2017-03-08,,3547343804691424
1395,3581,gold,2017-12-15,,3500177589041982
1341,2445,gold,2017-11-18,,180033594331392
1379,12535,gold,2017-12-23,,569836663603
1399,1876,gold,2016-03-12,,180084079070005
268,1707,gold,2016-12-11,,4414082294422985
238,1452,gold,2016-08-17,,3509470041031514
1407,3128,gold,2017-12-28,,36985138302674
153,886,gold,2016-10-19,,342639205429295
1376,9333,gold,2017-10-02,,5461112048739910
1392,4522,gold,2017-08-20,,3502707143444328
1404,12635,gold,2016-10-30,,2672422901365212
1406,1453,gold,2017-09-22,,4924283467942683
459,2958,gold,2017-02-11,,3505401806741686
1383,1777,gold,2017-10-17,,3506676899816508
1402,4701,gold,2017-06-12,,4914967469609702
1385,1289,gold,2017-01-27,,370119904599123
1397,3944,gold,2017-12-18,,180044544012669
1390,2688,gold,2015-07-10,,180092996656368
1387,2058,gold,2017-08-30,,3528790484278893
813,5873,junior,2015-10-28,,630454385737
597,3813,junior,2016-06-06,,6593058445320458
651,4201,junior,2015-08-02,,349420603427832
721,4680,junior,2013-04-05,,379132663210486
589,3766,junior,2016-12-20,,4822965293819670
247,1500,junior,2016-10-08,,349511147397638
647,4171,junior,2016-03-21,,4627295930195830
216,1310,junior,2015-04-24,,3507462993723521
709,4587,junior,2016-04-11,,676384614183
1223,13231,junior,2014-05-02,,675987357760
5,51,junior,2014-04-24,,6011479390341055
289,1831,junior,2015-04-08,,213195619031348
729,4740,junior,2016-01-22,,4303735556535015868
12,83,junior,2015-09-11,,2482428528582758
592,3782,junior,2014-08-07,,4687803521624
24,153,junior,2015-08-05,,2263643858104305
272,1754,junior,2015-10-28,,38755311156876
594,3794,junior,2015-12-27,,4050945200807
673,4353,junior,2015-08-31,,4901229666401734775
511,3257,junior,2016-08-06,,180026904914923
844,6567,junior,2017-03-04,,30578948897102
733,4764,junior,2016-06-30,,3571798704997966
477,3082,junior,2014-01-16,,376573870815752
422,2650,junior,2014-07-11,,30411095485127
155,900,junior,2016-05-17,,4262735510648
541,3427,junior,2015-11-26,,6011540112355325
165,996,junior,2017-02-04,,3525638401311789
