index,card_id,disp_id,type,card_number,date,end_date
9,1315,1067,gold,676386516949,2021-04-29,2021-05-16
46,1352,12787,gold,4921385789374137236,2021-12-29,2021-12-29
63,1369,2911,gold,180088729003886,2021-12-11,2021-12-25
28,1334,3253,gold,578755752263,2021-11-21,2021-12-22
18,1324,694,gold,344637151696832,2021-12-26,2021-12-29
10,1316,1876,gold,379255027445017,2021-01-12,2021-06-18
40,1346,2489,gold,4342403725931409152,2021-11-14,2021-12-04
0,1306,1579,gold,6505873695432333,2021-10-29,2021-11-07
66,1372,4862,gold,3585635857042717,2021-10-28,2021-11-25
59,1365,886,gold,4039034055214,2020-12-12,2021-05-21
34,1340,4701,gold,3519763623865426,2021-09-24,2021-09-27
67,1373,5253,gold,3591539577563287,2021-12-18,2021-12-23
70,1376,2058,gold,3598099828680102,2021-12-20,2021-12-26
20,1326,1930,gold,3502775174935357,2021-10-14,2021-12-10
55,1361,2958,gold,348516276749013,2021-09-05,2021-09-08
91,763,5138,junior,6011018405178274,2017-12-30,2019-08-23
142,709,4587,junior,36619127748494,2020-04-11,2021-10-12
131,117,649,junior,4518540648711,2019-11-23,2021-09-18
169,236,1440,junior,377135175928315,2021-01-29,2021-04-09
113,289,1831,junior,4052583690539,2019-04-08,2020-09-21
100,422,2650,junior,3545205492276036,2018-07-11,2019-06-11
112,725,4715,junior,570061879013,2019-03-30,2020-04-23
108,666,4328,junior,676194454408,2018-12-25,2020-04-02
139,729,4740,junior,3583826195433518,2020-01-22,2021-06-03
120,651,4201,junior,3569851349659378,2019-08-02,2020-05-03
102,262,1647,junior,577452945477,2018-08-24,2019-10-06
201,42,264,junior,180076050242157,2021-07-28,2021-11-15
175,132,731,junior,502083857651,2021-02-26,2021-12-18
136,594,3794,junior,347170999826558,2019-12-27,2021-03-16
143,572,3636,junior,30352828984301,2020-05-16,2021-06-29
230,147,826,junior,6591834871381467,2021-12-13,2021-12-18
186,933,7959,junior,6512142760044956,2021-04-21,2021-11-02
95,759,5117,junior,3596740009883591,2018-04-18,2019-08-13
106,113,629,junior,3594682854990406,2018-11-16,2020-03-20
187,1194,12781,junior,2720922641596952,2021-04-30,2021-11-21
104,783,5433,junior,4262516723673158,2018-10-24,2020-06-06
172,720,4674,junior,371828293413949,2021-02-09,2021-09-24
145,155,900,junior,3539415991963483,2020-05-17,2021-02-20
156,660,4265,junior,6528253259162373,2020-08-19,2021-06-01
124,103,584,junior,6011800220550658,2019-08-17,2020-07-31
184,451,2888,junior,3511250600340415,2021-04-16,2021-12-25
161,33,221,junior,213135172153881,2020-12-03,2021-03-11
98,779,5323,junior,3516603835239569,2018-05-21,2019-08-13
231,527,3348,junior,4028256906717,2021-12-14,2021-12-19
134,363,2324,junior,4040946148634,2019-12-11,2021-07-14
94,1038,9787,junior,3535584324469841,2018-03-30,2020-11-10
166,28,174,junior,4976020827931395,2021-01-22,2021-07-31
188,457,2948,junior,38620895716208,2021-05-16,2021-05-20
115,216,1310,junior,30141970573727,2019-04-24,2020-10-25
147,597,3813,junior,30428818532837,2020-06-06,2021-06-06
177,844,6567,junior,3506466552802965,2021-03-04,2021-03-19
97,1223,13231,junior,3594520080980447,2018-05-02,2019-07-31
183,156,906,junior,2222355203815218,2021-04-07,2021-08-14
182,191,1168,junior,4013583347810691,2021-04-02,2021-08-14
133,710,4588,junior,3588434641346676,2019-12-10,2020-04-23
109,267,1691,junior,2233622143630321,2019-03-09,2020-12-22
126,12,83,junior,4686843650211,2019-09-11,2021-01-27
224,27,167,junior,676118234647,2021-11-15,2021-12-01
146,939,8217,junior,4342465030077204,2020-05-29,2021-10-31
181,63,378,junior,3588809305747444,2021-03-27,2021-07-02
122,587,3763,junior,4363812662975342,2019-08-05,2020-12-04
206,425,2662,junior,379607257945514,2021-09-04,2021-12-03
144,375,2425,junior,3547343804691424,2020-05-17,2021-06-30
77,1454,5478,classic,36656049181560,2018-12-30,2020-03-15
74,1451,9452,classic,3527347229918787,2018-08-23,2020-03-03
55,1432,3115,classic,5224966038869005,2016-12-14,2018-02-20
80,1457,1213,classic,2239900219627171,2018-09-16,2020-04-12
72,1449,3830,classic,4127091961125,2019-02-20,2020-01-02
51,1428,3128,classic,4394134885543,2021-02-13,2021-12-27
11,1388,4522,classic,4414396780305,2020-02-25,2021-02-08
62,1439,4627,classic,371821639871755,2018-03-26,2018-12-01
12,1389,7127,classic,4722185542805,2019-09-08,2021-01-26
43,1420,3134,classic,4716364138602955,2020-11-29,2021-12-13
2,1379,2688,classic,4217921760811,2017-12-23,2019-04-16
83,1460,1378,classic,2232963411040293,2018-09-23,2020-09-11
