index,period_transactions_total,card_number,is_full_payer,payment_type,balance_percent,card_id,remaining_balance_last_period,total_amount_owed,total_amount_paid,total_interest_applied,remaining_balance_this_period,period_start,period_end,payment_completed_date,payment_due_date
108,6273.46,6564550800705385,0,,0,5,0,6273.46,0,0,6273.46,2021-10-03,2021-10-03,2021-10-03,2021-12-03
95,5736.72,6564550800705385,0,,0,5,10303.4047493734,16040.1247493734,0,0,16040.1247493734,2020-09-03,2020-09-03,2020-09-03,2020-11-03
110,11732.16,6564550800705385,0,,0,5,11655.6925195831,25194.4848601185,0,1806.63234053538,25194.4848601185,2021-12-03,2021-12-03,2021-12-03,2022-02-03
93,7095.67,6564550800705385,0,,0,5,0,7095.67,0,0,7095.67,2020-08-03,2020-08-03,2020-08-03,2020-10-03
79,5039.38,6564550800705385,0,,0,5,0,5039.38,0,0,5039.38,2019-06-03,2019-06-03,2019-06-03,2019-08-03
144,6246.79,4894937407069891,0,,0,9,16048.8591048281,24036.950317702,0,1741.30121287385,24036.950317702,2021-12-24,2021-12-24,2021-12-24,2022-02-24
130,17838.16,4894937407069891,0,,0,9,3649.39111778355,21883.5100540631,0,395.958936279516,21883.5100540631,2020-11-24,2020-11-24,2020-11-24,2021-01-24
137,16918.41,4894937407069891,0,,0,9,0,16918.41,0,0,16918.41,2021-05-24,2021-05-24,2021-05-24,2021-07-24
273,363.61,587222970135,0,,0,13,0,363.61,0,0,363.61,2021-12-20,2021-12-20,2021-12-20,2022-02-20
344,1647.19,578086042541,0,,0,15,1069.2,2832.3982,0,116.0082,2832.3982,2020-02-27,2020-02-27,2020-02-27,2020-04-27
349,2954.41,578086042541,0,,0,15,0,2954.41,0,0,2954.41,2020-06-27,2020-06-27,2020-06-27,2020-08-27
338,3883.7,578086042541,0,,0,15,8570.91188428166,13354.5576321312,0,899.945747849575,13354.5576321312,2019-08-27,2019-08-27,2019-08-27,2019-10-27
320,1936.52,578086042541,0,,0,15,0,1936.52,0,0,1936.52,2018-05-27,2018-05-27,2018-05-27,2018-07-27
328,3104.66,578086042541,0,,0,15,4932.39381145939,8572.21854000273,0,535.164728543343,8572.21854000273,2018-11-27,2018-11-27,2018-11-27,2019-01-27
327,3655.52,578086042541,0,,0,15,1276.87381145939,4932.39381145939,0,0,4932.39381145939,2018-10-27,2018-10-27,2018-10-27,2018-12-27
343,1069.2,578086042541,0,,0,15,0,1069.2,0,0,1069.2,2020-01-27,2020-01-27,2020-01-27,2020-03-27
