ssn,first_name,last_name,gender,street,address,job,profile,client_id,district_id,disp_id,traffice_source,dob,age
676-09-6371,Steven,Brown,M,051 Walker Coves,Allenspark|CO|80510|40.2268|-105.5201|420,"Engineer, drilling",adults_2550_male_rural,12662,14,12354,Email,1977-06-01,45
286-30-3967,James,Vaughn,M,71125 Andrea Trace Apt. 927,Denver|CO|80237|39.6431|-104.8987|990452,Medical physicist,adults_2550_male_urban,1478,4,1478,Email,1993-08-21,29
691-34-3046,Jason,Tran,M,84767 Regina Flat,Denver|CO|80227|39.6667|-105.0854|990452,Petroleum engineer,adults_2550_male_urban,1339,22,1339,Email,1983-05-04,39
095-32-7455,Kyle,Brooks,M,044 Mosley Curve Apt. 626,Colorado Springs|CO|80921|39.0487|-104.814|525713,Media buyer,adults_2550_male_urban,2184,24,2184,Email,1994-07-07,28
036-92-0203,Shawn,Dalton,M,1939 Lucas Terrace,Littleton|CO|80126|39.5437|-104.9691|320420,Contractor,adults_2550_male_urban,2785,22,2785,Email,1986-07-29,36
758-51-2929,Daniel,Schultz,M,28314 Ryan Hollow,Fountain|CO|80817|38.6996|-104.7005|27311,Government social research officer,adults_2550_male_urban,10912,15,10604,Email,1987-01-09,35
474-87-3688,Thomas,Lewis,M,23498 Weiss Extension Apt. 656,Denver|CO|80237|39.6431|-104.8987|990452,Animator,adults_2550_male_urban,5727,54,5727,Email,1977-02-24,45
222-12-6374,Paul,Wall,M,47421 Robert Village Suite 111,Greeley|CO|80634|40.4109|-104.7541|101464,Television floor manager,adults_2550_male_urban,12850,72,12542,Email,1979-08-26,43
574-08-9855,Richard,Sims,M,388 Atkins Roads Suite 277,Aurora|CO|80018|39.7102|-104.7071|389246,Soil scientist,adults_2550_male_urban,819,74,819,Email,1982-07-08,40
647-81-8481,Vincent,Watson,M,220 Samuel Mills,Broomfield|CO|80023|39.9619|-105.0148|92337,Computer games developer,adults_2550_male_urban,13468,25,13160,Email,1984-10-31,37
470-20-9055,Christopher,Moran,M,8672 Blevins Station Suite 621,Denver|CO|80231|39.6793|-104.8843|990452,Industrial buyer,adults_2550_male_urban,333,38,333,Email,1995-10-19,26
851-94-8141,Matthew,Young,M,87972 Kelli Falls Apt. 201,Denver|CO|80249|39.7783|-104.7556|990452,"Editor, commissioning",adults_2550_male_urban,2343,1,2343,Email,1983-03-18,39
654-48-6836,Stephen,Mcdonald,M,108 Zhang Circles,Englewood|CO|80110|39.6463|-105.0092|99594,"Engineer, manufacturing systems",adults_2550_male_urban,2361,9,2361,Email,1992-09-24,29
275-09-5666,Daniel,Sawyer,M,657 Dylan Prairie Suite 146,Littleton|CO|80123|39.6206|-105.0901|320420,Travel agency manager,adults_2550_male_urban,453,67,453,Email,1993-07-16,29
819-42-6544,Nathan,Acosta,M,545 Jose Motorway Suite 302,Denver|CO|80204|39.734|-105.0259|990452,Armed forces operational officer,adults_2550_male_urban,12599,44,12291,Email,1980-01-01,42
727-63-1016,Donald,Lane,M,015 Billy Lodge,Brighton|CO|80603|39.9515|-104.7746|73471,Civil Service administrator,adults_2550_male_urban,2977,39,2977,Email,1987-02-06,35
311-83-6865,Timothy,Kennedy,M,56607 Bethany Ramp Apt. 943,Denver|CO|80229|39.8671|-104.9227|990452,"Designer, textile",adults_2550_male_urban,13405,32,13097,Email,1982-08-13,40
763-49-3997,Jordan,Livingston,M,74270 Keith Grove,Denver|CO|80223|39.7002|-105.0028|990452,Facilities manager,adults_2550_male_urban,1213,1,1213,Email,1990-04-28,32
787-07-5749,Michael,Kramer,M,52332 Barbara Spurs Apt. 639,Durango|CO|81301|37.2874|-107.8617|36051,"Engineer, electrical",adults_2550_male_urban,3116,28,3116,Email,1975-09-09,47
413-38-0671,Jason,Garrett,M,1968 Jones Pines,Durango|CO|81301|37.2874|-107.8617|36051,"Engineer, technical sales",adults_2550_male_urban,1629,28,1629,Email,1990-09-01,32
457-75-4566,Kevin,Lynn,M,3435 Richards Crescent Apt. 883,Aurora|CO|80017|39.6948|-104.7881|389246,Private music teacher,adults_2550_male_urban,3687,49,3687,Email,1996-02-06,26
127-07-4714,Aaron,Terry,M,3384 Robert Loaf,Arvada|CO|80004|39.8141|-105.1177|122111,Community development worker,adults_2550_male_urban,3913,8,3913,Email,1975-08-01,47
859-55-7611,Karl,Wilson,M,453 Golden Dam,Denver|CO|80231|39.6793|-104.8843|990452,Insurance account manager,adults_2550_male_urban,474,46,474,Email,1973-05-31,49
303-24-3010,Thomas,Bailey,M,29109 Cynthia Point,Durango|CO|81301|37.2874|-107.8617|36051,"Engineer, maintenance (IT)",adults_2550_male_urban,2141,28,2141,Email,1975-09-06,47
188-90-9149,Steven,Jackson,M,62865 Dave Tunnel Apt. 537,Denver|CO|80226|39.7123|-105.0918|990452,Pension scheme manager,adults_2550_male_urban,2493,1,2493,Email,1986-10-09,35
282-65-5371,Duane,Johnston,M,7662 Angela Underpass,Denver|CO|80206|39.7331|-104.9524|990452,"Buyer, retail",adults_2550_male_urban,1861,29,1861,Email,1981-07-15,41
329-56-6954,Michael,Andrade,M,0993 Nicole Drives Apt. 792,Colorado Springs|CO|80926|38.6981|-104.8505|525713,"Development worker, international aid",adults_2550_male_urban,4295,18,4295,Email,1984-03-16,38
724-80-3439,Benjamin,Johnson,M,663 Cummings Port,Denver|CO|80260|39.8672|-105.0041|990452,Production manager,adults_2550_male_urban,2445,54,2445,Email,1993-02-26,29
402-71-0888,Gregory,Fischer,M,351 Livingston Station Suite 578,Fort Collins|CO|80526|40.5473|-105.1076|175625,Water quality scientist,adults_2550_male_urban,2657,73,2657,Email,1972-07-09,50
262-17-8139,Joshua,Bailey,M,7208 Cheyenne Causeway,Lafayette|CO|80026|39.998|-105.0963|26378,"Engineer, chemical",adults_2550_male_urban,992,19,992,Email,1972-05-21,50
505-82-5514,Charles,Benson,M,506 Jones Ford,Canon City|CO|81212|38.4451|-105.2178|29742,Sub,adults_2550_male_urban,1353,27,1353,Email,1983-02-13,39
304-06-2369,Daniel,Wu,M,406 Kenneth Port,Golden|CO|80401|39.7305|-105.1915|57589,Forensic scientist,adults_2550_male_urban,9721,34,9413,Email,1978-12-05,43
637-84-9289,Dennis,Sharp,M,39488 Hall Lake,Denver|CO|80227|39.6667|-105.0854|990452,Technical author,adults_2550_male_urban,590,44,590,Email,1973-02-15,49
886-36-7331,Carlos,Glass,M,454 Joshua Branch,Colorado Springs|CO|80913|38.73|-104.7536|525713,Special educational needs teacher,adults_2550_male_urban,1146,54,1146,Email,1989-11-14,32
811-85-1277,Troy,Acosta,M,769 John Road Apt. 142,Greeley|CO|80631|40.385|-104.6806|101464,Video editor,adults_2550_male_urban,1876,1,1876,Email,1975-07-01,47
278-14-5255,Julian,Day,M,7605 Barrera Dam,Arvada|CO|80005|39.8422|-105.1097|122111,"Nurse, adult",adults_2550_male_urban,2395,8,2395,Email,1977-03-11,45
778-94-0432,Douglas,Smith,M,161 Donna Walk Suite 993,Longmont|CO|80503|40.1559|-105.1624|117461,Water engineer,adults_2550_male_urban,2562,42,2562,Email,1976-11-01,45
869-12-4134,Matthew,Hill,M,811 Green Ramp Apt. 639,Brighton|CO|80602|39.9636|-104.9072|73471,Geophysicist/field seismologist,adults_2550_male_urban,5159,39,5159,Email,1988-12-02,33
873-80-4619,Richard,Wallace,M,5066 Davis Green Apt. 902,Denver|CO|80229|39.8671|-104.9227|990452,"Engineer, electrical",adults_2550_male_urban,2536,64,2536,Email,1985-10-22,36
856-51-1169,Michael,Mills,M,733 Jake Greens Apt. 203,Denver|CO|80226|39.7123|-105.0918|990452,"Sound technician, broadcasting/film/video",adults_2550_male_urban,3769,54,3769,Email,1981-09-10,41
350-72-4478,Richard,Saunders,M,029 Angie Square Apt. 530,Loveland|CO|80537|40.3849|-105.0916|82751,Environmental education officer,adults_2550_male_urban,2820,77,2820,Email,1990-12-17,31
184-92-8968,Gary,Andrews,M,06896 Williams Shoal Apt. 539,Fountain|CO|80817|38.6996|-104.7005|27311,Special educational needs teacher,adults_2550_male_urban,6753,15,6753,Email,1986-05-23,36
673-92-9790,Joseph,Alexander,M,936 Cole Prairie Suite 183,Denver|CO|80224|39.688|-104.9108|990452,Immigration officer,adults_2550_male_urban,3699,1,3699,Email,1992-08-08,30
445-16-9989,Robert,Morrow,M,363 Chloe Station Suite 471,Colorado Springs|CO|80920|38.9497|-104.767|525713,Medical laboratory scientific officer,adults_2550_male_urban,4137,21,4137,Email,1973-08-30,49
042-71-8693,John,Oliver,M,8157 Jeffrey Turnpike Suite 636,Broomfield|CO|80023|39.9619|-105.0148|92337,Ship broker,adults_2550_male_urban,1912,57,1912,Email,1996-02-26,26
066-54-2402,Andrew,Osborne,M,103 Kayla Views Apt. 191,Canon City|CO|81212|38.4451|-105.2178|29742,Community pharmacist,adults_50up_male_urban,3181,27,3181,Email,1967-02-15,55
695-13-3271,Paul,Larson,M,85368 Owens Common,Louisville|CO|80027|39.9789|-105.1456|31034,"Scientist, water quality",adults_50up_male_urban,2203,10,2203,Email,1963-10-01,58
275-77-4751,Charles,Bates,M,9617 Sanchez Square Apt. 081,Aurora|CO|80011|39.7378|-104.8152|389246,Farm manager,adults_50up_male_urban,4929,74,4929,Email,1967-07-30,55
433-83-9579,Brian,Hayes,M,47279 Steven Springs Suite 993,Littleton|CO|80126|39.5437|-104.9691|320420,"Accountant, chartered certified",adults_50up_male_urban,42,68,42,Email,1959-08-17,63
193-38-8354,Mike,White,M,399 Laura Cape Apt. 424,Parker|CO|80134|39.4895|-104.8447|84861,Landscape architect,adults_50up_male_urban,6468,70,6468,Email,1968-02-23,54
329-70-7665,Michael,Hughes,M,2512 Kathleen Expressway Apt. 723,Westminster|CO|80031|39.8753|-105.0345|49261,Event organiser,adults_50up_male_urban,130,53,130,Email,1966-02-14,56
553-55-0670,Daniel,Vasquez,M,31429 Shaw Manors Apt. 475,Aurora|CO|80014|39.6662|-104.835|389246,Barista,adults_50up_male_urban,9,60,9,Email,1959-10-16,62
758-55-5335,Dylan,Nelson,M,591 Heather Lights,Fort Collins|CO|80525|40.5384|-105.0547|175625,Hydrologist,adults_50up_male_urban,12050,52,11742,Email,1967-05-30,55
417-62-9814,Guy,Watson,M,1254 Michael Fields,Aurora|CO|80019|39.7656|-104.7069|389246,Technical author,adults_50up_male_urban,2709,26,2709,Email,1970-06-14,52
750-38-2228,Maxwell,Golden,M,673 Laura Cove Apt. 829,Denver|CO|80222|39.671|-104.9279|990452,Retired,adults_50up_male_urban,4380,1,4380,Email,1955-05-13,67
816-27-7463,Juan,Patrick,M,25038 Chad Ville,Denver|CO|80241|39.9274|-104.9548|990452,Secretary/administrator,adults_50up_male_urban,1066,1,1066,Email,1964-10-18,57
177-88-1847,Austin,Ward,M,6252 Bird Path,Lafayette|CO|80026|39.998|-105.0963|26378,Mental health nurse,adults_50up_male_urban,6764,19,6764,Email,1968-04-12,54
788-78-9474,Brian,Williams,M,3207 Robinson Inlet Suite 323,Fort Collins|CO|80524|40.5986|-105.0581|175625,"Programmer, systems",adults_50up_male_urban,3291,52,3291,Email,1971-01-23,51
592-91-9047,Rodney,Klein,M,19334 Hebert Cape,Aurora|CO|80010|39.7368|-104.8646|389246,Maintenance engineer,adults_50up_male_urban,7683,12,7683,Email,1970-04-01,52
692-67-2095,Andrew,Collins,M,036 Carter Inlet,Brighton|CO|80601|39.943|-104.7866|73471,"Radiographer, diagnostic",adults_50up_male_urban,2815,35,2815,Email,1954-06-30,68
014-86-7763,Jimmy,Santiago,M,0148 Wilson Roads Apt. 478,Colorado Springs|CO|80928|38.6233|-104.457|525713,Operational researcher,adults_50up_male_urban,548,49,548,Email,1961-12-04,60
761-68-0184,Carl,Li,M,527 Miller Hollow Apt. 900,Colorado Springs|CO|80925|38.7378|-104.6459|525713,"Editor, commissioning",adults_50up_male_urban,3292,18,3292,Email,1964-01-21,58
252-93-0975,David,Clarke,M,15015 Christina Square,Denver|CO|80214|39.7436|-105.0643|990452,Adult nurse,adults_50up_male_urban,483,1,483,Email,1968-06-19,54
102-90-2593,Gregg,Boone,M,19635 Sharp Inlet,Denver|CO|80246|39.7086|-104.9312|990452,Applications developer,adults_50up_male_urban,1811,1,1811,Email,1963-03-29,59
555-97-5531,Cesar,Wolf,M,237 Delacruz Haven,Denver|CO|80222|39.671|-104.9279|990452,"Engineer, building services",adults_50up_male_urban,1089,1,1089,Email,1963-12-09,58
213-56-1164,Michael,Smith,M,2441 Jesse Gateway Suite 557,Colorado Springs|CO|80929|38.7968|-104.6079|525713,Production engineer,adults_50up_male_urban,489,41,489,Email,1964-10-07,57
807-79-8725,David,Huff,M,55438 Anderson Springs Apt. 814,Colorado Springs|CO|80917|38.886|-104.7399|525713,Special effects artist,adults_50up_male_urban,4116,36,4116,Email,1960-11-24,61
862-07-2351,Patrick,Williams,M,432 Hannah Harbor Suite 871,Littleton|CO|80125|39.4845|-105.0561|320420,Patent attorney,adults_50up_male_urban,1718,75,1718,Email,1962-07-27,60
846-91-3705,Sean,Aguilar,M,83853 Roberson Point Apt. 648,Littleton|CO|80129|39.5397|-105.0109|320420,Sub,adults_50up_male_urban,3821,22,3821,Email,1963-05-16,59
233-31-9021,Mark,Smith,M,85232 Lowe Plaza Apt. 460,Aurora|CO|80015|39.6255|-104.7874|389246,Special educational needs teacher,adults_50up_male_urban,8502,51,8502,Email,1967-04-19,55
403-16-8930,Brandon,Page,M,048 Moore Hill,Denver|CO|80227|39.6667|-105.0854|990452,Theatre stage manager,adults_50up_male_urban,9933,74,9625,Email,1965-10-15,56
648-30-4030,Jesse,Valdez,M,302 Lisa Stream,Aurora|CO|80012|39.6987|-104.8377|389246,Mudlogger,adults_50up_male_urban,19,47,19,Email,1966-12-28,55
885-25-6538,Joshua,Jenkins,M,6432 Love Run Suite 350,Pueblo|CO|81006|38.2446|-104.5318|151815,Amenity horticulturist,adults_50up_male_urban,402,3,402,Email,1967-12-25,54
736-61-7306,Antonio,Jones,M,538 Michael Square,Denver|CO|80223|39.7002|-105.0028|990452,"Librarian, public",adults_50up_male_urban,662,5,662,Email,1969-08-07,53
161-71-2631,Michael,Davidson,M,8798 Micheal Dam,Denver|CO|80209|39.7074|-104.9686|990452,Clinical psychologist,adults_50up_male_urban,3253,70,3253,Email,1970-07-02,52
461-26-7291,Jason,Davis,M,2182 Joshua Shoal Apt. 727,Denver|CO|80203|39.7313|-104.9811|990452,Museum education officer,adults_50up_male_urban,655,32,655,Email,1966-12-10,55
412-28-8325,Joel,Love,M,014 Rose Common Suite 572,Parker|CO|80138|39.5102|-104.7216|84861,Licensed conveyancer,adults_50up_male_urban,4765,48,4765,Email,1959-03-06,63
151-96-3344,Kevin,Murray,M,6476 Carrie Haven,Allenspark|CO|80510|40.2268|-105.5201|420,Student,young_adults_male_rural,1292,14,1292,Email,2001-04-28,21
169-24-8247,Jerome,Mcdonald,M,7851 Lara Wells,Denver|CO|80236|39.6535|-105.0376|990452,Student,young_adults_male_urban,2065,64,2065,Email,2002-08-20,20
187-05-9957,Donald,Perez,M,1026 Rachel Falls,Denver|CO|80234|39.9108|-105.0109|990452,Hospital pharmacist,young_adults_male_urban,4112,38,4112,Email,1998-11-28,23
374-53-3787,Victor,Clark,M,83266 Monica Causeway,Englewood|CO|80111|39.6123|-104.8799|99594,Printmaker,young_adults_male_urban,2759,2,2759,Email,1998-01-26,24
014-63-1373,Jonathan,Myers,M,7677 Sullivan Parkways Apt. 133,Canon City|CO|81212|38.4451|-105.2178|29742,Student,young_adults_male_urban,531,27,531,Email,2000-10-04,21
431-15-7076,Tyler,Hickman,M,326 Donna Island Apt. 760,Denver|CO|80210|39.679|-104.9631|990452,Student,young_adults_male_urban,2121,64,2121,Email,2003-09-25,18
340-69-1013,Stephen,Brown,M,80582 King Garden,Vail|CO|81657|39.6512|-106.3234|5581,Student,young_adults_male_urban,4639,20,4639,Email,2004-05-16,18
294-12-2434,Joel,Mcpherson,M,335 Williamson Streets Suite 500,Arvada|CO|80005|39.8422|-105.1097|122111,Estate manager/land agent,young_adults_male_urban,10198,31,9890,Email,2000-05-24,22
478-64-5827,Douglas,Goodman,M,112 Michael Expressway Suite 473,Greeley|CO|80631|40.385|-104.6806|101464,Counselling psychologist,young_adults_male_urban,2138,68,2138,Email,2004-12-19,17
336-58-6002,David,Stewart,M,87782 Doyle Ports,Fort Collins|CO|80524|40.5986|-105.0581|175625,Student,young_adults_male_urban,13044,52,12736,Email,2000-03-01,22
316-03-4269,Jordan,Taylor,F,094 Lisa Plains Apt. 161,Allenspark|CO|80510|40.2268|-105.5201|420,Glass blower/designer,adults_2550_female_rural,1253,14,1253,Email,1991-08-28,31
540-87-8927,Pamela,Kaiser,F,015 Lowe Tunnel,Loveland|CO|80537|40.3849|-105.0916|82751,Legal secretary,adults_2550_female_urban,3616,77,3616,Email,1988-04-14,34
814-06-2349,Megan,Ortega,F,224 Steven Summit Apt. 272,Denver|CO|80212|39.7683|-105.0493|990452,"Loss adjuster, chartered",adults_2550_female_urban,1583,1,1583,Email,1996-01-08,26
047-16-1266,Pamela,Kemp,F,34234 Mccormick Bypass,Denver|CO|80231|39.6793|-104.8843|990452,Health and safety adviser,adults_2550_female_urban,3184,5,3184,Email,1983-12-01,38
453-24-1714,Lauren,West,F,753 Lucas Dale Apt. 954,Denver|CO|80212|39.7683|-105.0493|990452,"Librarian, public",adults_2550_female_urban,4270,58,4270,Email,1996-02-05,26
756-31-6468,Susan,Herring,F,5122 Graves Parkway Apt. 240,Colorado Springs|CO|80910|38.8152|-104.7703|525713,Operations geologist,adults_2550_female_urban,11491,36,11183,Email,1982-05-16,40
554-31-6514,Cheryl,Garcia,F,840 Alyssa Heights Suite 155,Denver|CO|80231|39.6793|-104.8843|990452,Curator,adults_2550_female_urban,2128,38,2128,Email,1979-08-13,43
869-06-1771,Holly,Shaw,F,5637 Andrea Islands,Colorado Springs|CO|80908|39.0237|-104.6933|525713,Music therapist,adults_2550_female_urban,76,36,76,Email,1991-10-01,30
027-53-3486,Kelly,Fischer,F,50195 Murphy Fields Apt. 040,Aurora|CO|80016|39.6012|-104.7394|389246,Cabin crew,adults_2550_female_urban,2984,60,2984,Email,1987-05-24,35
064-05-9715,Sandra,Howard,F,23834 Ashley Village Suite 919,Littleton|CO|80122|39.5814|-104.9557|320420,Bookseller,adults_2550_female_urban,1777,69,1777,Email,1987-01-08,35
370-62-9901,Judith,Potter,F,802 Teresa Path Apt. 874,Greeley|CO|80631|40.385|-104.6806|101464,Recruitment consultant,adults_2550_female_urban,3517,68,3517,Email,1977-06-24,45
527-94-8689,Vickie,Shaw,F,991 Estes Fork,Fort Collins|CO|80524|40.5986|-105.0581|175625,"Engineer, biomedical",adults_2550_female_urban,1522,52,1522,Email,1992-05-14,30
253-79-1476,Amber,Bryant,F,00901 Jeffrey Mission,Broomfield|CO|80023|39.9619|-105.0148|92337,Network engineer,adults_2550_female_urban,4749,57,4749,Email,1972-01-19,50
710-77-5538,Kristin,Smith,F,74734 Antonio Tunnel Suite 746,Arvada|CO|80004|39.8141|-105.1177|122111,"Engineer, energy",adults_2550_female_urban,4721,65,4721,Email,1980-03-21,42
