order_id,account_id,bank_to,account_to,category,amount
29969,378,AB,85313254, ,118.4
30558,792,AB,50819605, ,132.6
31867,1681,AB,76300596, ,0.6
43184,9307,AB,52218389, ,273.5
46195,11271,AB,31909245, ,236.4
29750,230,AB,95935326, ,152.7
29995,393,AB,27135431, ,592
44837,10404,AB,74571001, ,120.3
33162,2542,AB,12512219, ,263.7
32546,2146,AB,64262807, ,323
33310,2649,AB,33442980, ,65.5
32636,2199,AB,99790232, ,183
33452,2739,AB,56375890, ,417.3
34966,3774,AB,76028048, ,288.1
35670,4259,AB,40486842, ,225.5
40411,7454,AB,52242457, ,47.1
30334,638,AB,77634972, ,466.8
31493,1413,AB,67985760, ,347.7
34472,3424,AB,4327679, ,226.4
35288,3999,AB,48404151, ,233.2
46330,11359,AB,90330576, ,25.4
31381,1345,AB,89492493, ,84.8
31836,1658,AB,35908234, ,17.2
33855,3005,AB,44410479, ,769.6
33917,3050,AB,62503671, ,11.9
39893,7082,AB,18123281, ,26.2
31889,1697,AB,30674797, ,177.8
33750,2938,AB,20103186, ,228.8
34129,3192,AB,36690706, ,251.8
30595,820,AB,81232100, ,536.7
34805,3659,AB,66256487, ,286.2
43057,9227,AB,54022675, ,116.4
43822,9730,AB,9366584, ,476.4
42784,9031,AB,50771135, ,14.5
33947,3067,AB,61285483, ,133
34143,3201,AB,88160776, ,289.8
30159,500,AB,1471186, ,53.9
36711,4969,AB,94635641, ,61
34665,3571,AB,82703417, ,22.2
34068,3147,AB,80525493, ,3.7
40085,7184,AB,5196965, ,187.9
30852,997,AB,37532264, ,70
33886,3030,AB,24432987, ,179.5
35055,3835,AB,19860339, ,124.7
43296,9377,AB,52341222, ,398.3
31356,1329,AB,48227208, ,508.1
31534,1445,AB,68283045, ,66.8
32355,2019,AB,41162085, ,26.5
33190,2555,AB,73481118, ,226.1
31741,1591,AB,57081830, ,2.6
34443,3410,AB,6115699, ,12
32680,2234,AB,54483455, ,5.9
34766,3633,AB,61292290, ,79.9
30544,784,AB,51943343, ,70.1
31332,1318,AB,44717049, ,74.4
33112,2509,AB,73543202, ,437.7
33872,3017,AB,12489307, ,87.9
34632,3550,AB,16933977, ,93.6
30597,821,AB,89886223, ,65.1
32094,1835,AB,98761927, ,143.1
31383,1346,AB,56407761, ,47.5
32419,2057,AB,71481627, ,10.2
34675,3580,AB,9052366, ,33.5
39891,7082,AB,93874412, ,120.4
29759,237,AB,58324587, ,178.8
31434,1378,AB,95008945, ,88.1
33088,2494,AB,22744047, ,420.6
34883,3721,AB,86966162, ,13.2
30797,954,AB,55569523, ,124.2
33047,2474,AB,28422999, ,225.1
34785,3645,AB,95973336, ,265.1
34971,3777,AB,91688686, ,100.7
31112,1173,AB,55954945, ,135.2
44985,10493,AB,16853463, ,84.2
32153,1882,AB,81505483, ,193.6
34733,3617,AB,46849840, ,179.7
34874,3714,AB,69903582, ,51.3
29698,196,AB,90261184, ,441.7
32026,1796,AB,33720845, ,122.8
32567,2159,AB,91621130, ,760.1
30102,467,AB,73301529, ,289.5
31747,1594,AB,37283611, ,159.6
35015,3806,AB,66113912, ,247.8
43070,9236,AB,10692495, ,227.6
32000,1777,AB,64771890, ,141.8
39464,6792,AB,20771622, ,4.9
32127,1861,AB,86292242, ,151.9
34574,3492,AB,556761, ,496.2
34644,3556,AB,8922565, ,98.4
